date,index,txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,generatedCoins,activeAddresses,medianFee,averageDifficulty,paymentCount,blockCount,blockSize
2014-05-21,1,347,2079640,2.47,246540,0.000468826264,23625.7903198,48255,0.000001289769,104812428629,30693,1430,4089846
2014-05-22,2,477,1371470,1.59,132918,0.000657220138,22666.1091519,101585,0.000001330447,97759566.8894,77897,1401,6838373
2014-05-23,3,661,1816200,2.05,266852,0.000911483436,23167.7956052,118412,0.000001333303,99181359.6247,78276,1447,8499038
2014-05-24,4,1026,2653720,2.92,248028,0.002842246267,24975.8373414,167516,0.0000012798,130468591315,117383,1599,12588343
2014-05-25,5,1486,3774890,4.04,283545,0.002369143303,20133.313716,162895,0.0000011727075,145871208534,102566,1362,13957477
2014-05-26,6,1985,3070190,3.22,220148,0.014979522317,21236.7283498,273991,0.000001,140766538174,203749,1490,17545340
2014-05-27,7,2084,2958060,3.03,97603,3.04746212718,21302.6208872,246233,0.0000011720355,164342431021,149162,1511,18136422
2014-05-28,8,1341,2231880,2.24,177716,4.99131557173,24305.3341399,117810,0.005151329006,209742783114,70700,1531,8688239
2014-05-29,9,1862,2251030,2.21,109157,6.11866208503,20042.8486729,112694,0.005000172716,210795340141,65294,1290,8238290
2014-05-30,10,1396,1742630,1.68,119296,5.73523327804,23352.4411997,96809,0.005068195348,162978948527,59201,1430,7552070
2014-05-31,11,1071,1675440,1.58,117399,5.12380070104,26268.4725099,103182,0.00546,185088636.47,54882,1607,7823659
2014-06-01,12,1150,2111850,1.94,130602,5.49229620917,23103.3780211,102051,0.005473742726,261133131137,62008,1439,7900506
2014-06-02,13,1493,1964820,1.76,47672,8.26006948906,22811.0128622,95086,0.00564,226714411824,63189,1387,6227820
2014-06-03,14,2084,1966370,1.73,91332,11.752766976,23083.0253993,124655,0.00567,234513962.49,73704,1432,9741537
2014-06-04,15,2256,2238440,1.93,51886,13.0910605947,24583.6422659,140202,0.0057211551095,228184448288,89488,1519,10268772
